entity_id,cost_type,cost_value,effect_category,effect_scale,duration,restrictions,introduced_floor,source,confidence
compensated_anarchist,views,500000000000,damage,4,permanent,Level 5 Explosives Handling; minimum 25 Charisma,3,wiki:Compensated_Anarchist_Class,certain
former_child_actor,views,1000000000000,social,5,permanent,Cut! achievement,3,wiki:Former_Child_Actor_Class,certain
artist_alley_mogul,slot,,economy,4,permanent,Third-floor secondary class,3,wiki:Artist_Alley_Mogul_Class,probable
prizefighter,skill,5,damage,3,permanent,Level 5 Pugilism,3,wiki:Prizefighter_Class,certain
bomb_squad_tech,achievement,,damage,3,permanent,Boom! achievement,3,wiki:Bomb_Squad_Tech_Class,certain
monster_truck_driver,skill,,mobility,3,permanent,Automotive skill level,3,wiki:Monster_Truck_Driver_Class,probable
necrobard,none,,social,4,permanent,,3,wiki:NecroBard_Class,probable
shieldmaiden,none,,defense,3,permanent,"Female; Norse ties, per the wiki's own assumption",3,wiki:Shieldmaiden_Class,inferred
swashbuckler,none,,damage,3,permanent,"Sword as primary weapon, per the wiki's own assumption",3,wiki:Swashbuckler_Class,inferred
blizzardmancer,none,,damage,3,permanent,,3,wiki:Elle_McGibbons,inferred
primal,slot,,damage,4,permanent,Third-floor race selection,3,wiki:Primal,probable
cat,slot,,utility,2,permanent,,3,wiki:Cat,inferred
character_actor,none,,utility,5,permanent,Granted by Former Child Actor; levels only on descent,3,wiki:Former_Child_Actor_Class,certain
fear_spell,mana,,social,2,instant,Granted by Compensated Anarchist,3,wiki:Compensated_Anarchist_Class,probable
explosives_handling,none,,damage,4,permanent,Gates the Compensated Anarchist class at level 5,1,wiki:Carl,certain
iron_punch,none,,damage,3,permanent,,1,wiki:Carl,probable
regeneration_skill,none,,defense,3,permanent,,1,wiki:Carl,probable
magic_missile,mana,,damage,2,instant,,1,wiki:Magic_Missile,probable
fire_fingers,mana,,damage,2,instant,,1,wiki:Fire_Fingers_Spell,probable
confusing_fog,mana,,utility,2,instant,,1,wiki:Confusing_Fog_Spell,probable
puddle_jumper,mana,,mobility,3,instant,,1,wiki:Puddle_Jumper_Spell,probable
minion_army,mana,,damage,3,instant,,1,wiki:Minion_Army_Spell,probable
healing_potion,gold,,defense,3,instant,Heals 50% or more of total health,1,wiki:Healing_Potion,certain
mana_potion,gold,,utility,3,instant,Fully restores mana,1,wiki:Mana_Potion,certain
iron_skin_potion,gold,,defense,4,5 minutes,Doubles armour class,1,wiki:Iron_Skin_Potion,certain
skill_potion,gold,,utility,4,permanent,Raises one named skill by a level,1,wiki:Skill_Potion,certain
goblin_dynamite,gold,20,damage,3,instant,"Sold 25 sticks for 500 gold, so 20 gold a stick",1,wiki:Goblin_Dynamite,certain
goblin_smoke_bomb,gold,,utility,3,3 minutes,"Opaque smoke, 10 metre radius",1,wiki:Goblin_Smoke_Bomb,certain
trollskin_shirt,none,,defense,4,permanent,+7 Regeneration; immune to melee damage debuffs. From a Gold Apparel Box,1,wiki:Enchanted_Trollskin_Shirt_of_Pummeling,certain
nightgaunt_cloak,none,,defense,5,permanent,"+4 Constitution, ice and poison resistance, anti-piercing on all armour. Neck slot. From a Gold Apparel Box",1,wiki:Enchanted_Nightgaunt_Cloak_of_Stoutness,certain
splatter_skunk_toe_ring,none,,damage,3,permanent,"+3 Strength, +3 Powerful Strike. Toe slot. From a Gold Shoe Box",1,wiki:Enchanted_Toe_Ring_of_the_Splatter_Skunk,certain
desperado_pass_tattoo,none,,social,4,permanent,Desperado Club access. From an Asshole's Box,1,wiki:Desperado_Pass_Tattoo,certain
goblin_pass_tattoo,sacrifice,,utility,3,permanent,"Free passage through goblin territory, but goblin enemies deal 20% more damage. From a Silver Goblin Box",1,wiki:Goblin_Pass_Tattoo,certain
pedicure_kit,none,,defense,3,permanent,Carl's bare feet,2,wiki:Carl,probable
permacube,none,,utility,2,permanent,Generates heat for steam engines,1,wiki:Permacube,certain
crawler_biscuit,gold,,utility,2,instant,,1,wiki:Crawler_Biscuit,probable
enhanced_pet_biscuit,none,,utility,3,instant,Random effect from over a hundred; pets only. From a Legendary Pet Box,1,wiki:Enhanced_Pet_Biscuit,probable
experience_cookies,gold,,economy,1,instant,Ten experience points,1,wiki:Experience_Cookies,certain
bronze_box,none,,economy,1,instant,"Awarded, not purchased",1,wiki:Loot_Boxes,certain
silver_box,none,,economy,2,instant,"Awarded, not purchased",1,wiki:Loot_Boxes,probable
gold_box,none,,economy,3,instant,"Awarded, not purchased",1,wiki:Loot_Boxes,certain
platinum_box,none,,economy,4,instant,"Awarded, not purchased",1,wiki:Loot_Boxes,probable
boss_box,none,,economy,4,instant,Dropped by a boss,1,wiki:Boss_Box,certain
goblin_box,none,,economy,2,instant,Semi-random explosive loot,1,wiki:Goblin_Box,certain
benefactor_box,none,,economy,4,instant,Sent by a sponsor; contents usually bound to the named recipient,1,wiki:Benefactor_Box,certain
jug_o_boom,none,,damage,4,instant,Carl's own build,2,wiki:Carl's_Jug_O'Boom,probable
